id_carte,id_compte,numero_carte,type_carte,date_expiration,statut,contactless,plafond_paiement,paiement_international,created_at
51,51,4226752895392644225,platinum,,expiree,true,20000,true,2024-12-14
52,52,60496902952,electron,,active,true,20000,true,2020-08-28
53,53,3591725135521574,visa,,bloquee,true,20000,false,2023-10-19
54,54,4315410067626765862,gold,,expiree,false,10000,true,2023-02-10
55,55,30327104054110,mastercard,,bloquee,false,5000,false,2019-10-23
56,56,4218159970629626,gold,,expiree,false,5000,false,2019-07-02
57,57,2273368844431061,gold,,active,true,10000,false,2024-11-08
58,58,180020506149731,electron,,active,false,50000,false,2019-10-10
59,59,562417146775,mastercard,,active,true,20000,false,2025-04-01
60,60,4186256527047746,mastercard,,active,false,5000,false,2025-03-25
61,61,4211586938068687930,visa,,active,false,10000,false,2021-06-18
62,62,4608989921722332069,mastercard,,active,true,50000,true,2017-08-28
63,63,4329451168685486,platinum,,bloquee,true,5000,true,2023-09-13
64,64,639099861622,gold,,active,true,5000,false,2016-02-08
65,65,3519148564679970,visa,,expiree,true,10000,false,2017-11-26
66,66,4629960653074508,platinum,,expiree,false,10000,true,2018-01-10
67,67,4471324754691373674,visa,,bloquee,true,20000,true,2022-06-27
68,68,180008214862893,visa,,expiree,false,20000,false,2016-05-20
69,69,4303070534578611,platinum,,active,true,5000,false,2021-10-18
70,70,565797279850,electron,,expiree,true,50000,false,2023-04-08
71,71,4140602933334688,gold,,active,true,5000,true,2019-08-01
72,72,4722903494466570,electron,,expiree,true,50000,false,2015-07-02
73,73,4489691085899,electron,,bloquee,true,10000,true,2017-04-02
74,74,4171545444328309650,gold,,expiree,true,20000,false,2024-06-09
75,75,4744666099353873,visa,,expiree,true,10000,false,2019-11-04
76,76,4842824172482512,platinum,,bloquee,true,50000,true,2021-02-02
77,77,344655494717099,gold,,expiree,false,50000,true,2020-04-18
78,78,3573816846022358,electron,,active,false,10000,true,2017-12-29
79,79,3525217525007431,electron,,active,false,5000,false,2015-05-12
80,80,4712966667600830,gold,,active,false,10000,true,2019-10-14
81,81,345830033542162,gold,,bloquee,true,20000,false,2018-05-06
82,82,3521044789856251,electron,,active,false,50000,true,2017-02-11
83,83,30532603323094,electron,,expiree,true,50000,false,2020-05-19
84,84,4506489090100161,platinum,,bloquee,false,10000,false,2023-12-10
85,85,6011847230461848,platinum,,bloquee,true,20000,false,2018-09-08
86,86,3561891411739342,platinum,,bloquee,true,5000,false,2021-08-31
87,87,213156420873757,visa,,active,false,5000,false,2018-01-19
88,88,501811972188,mastercard,,active,false,10000,false,2024-04-29
89,89,3543744701204555,electron,,expiree,true,5000,true,2020-10-26
90,90,3510022557941557,electron,,expiree,false,10000,true,2015-08-21
91,91,2296746762120217,gold,,active,false,50000,false,2021-06-24
92,92,3597296590277163,mastercard,,expiree,false,5000,false,2019-05-18
93,93,502045089930,visa,,expiree,true,5000,false,2019-05-27
94,94,346375628900283,visa,,active,true,10000,false,2016-08-23
95,95,38217535408385,platinum,,expiree,true,10000,false,2023-07-28
96,96,6531779717751709,visa,,active,true,50000,false,2024-05-14
97,97,6508801994883754,visa,,bloquee,true,10000,true,2017-06-11
98,98,567589975711,electron,,bloquee,true,50000,false,2023-05-23
99,99,4055488510272613,visa,,active,false,20000,false,2018-02-11
100,100,3531637351609178,gold,,active,false,5000,true,2024-04-12
101,101,4708086978292213,gold,,bloquee,true,10000,false,2022-07-03
102,102,4866934654722698,electron,,active,false,50000,true,2024-06-24
103,103,3585833394522883,gold,,expiree,false,5000,true,2018-09-22
104,104,4158799684608101,electron,,expiree,true,5000,false,2020-08-09
105,105,4034244204380576,gold,,expiree,true,5000,false,2021-08-28
106,106,3586384066658000,visa,,bloquee,false,50000,true,2024-02-10
107,107,4973598933472122815,mastercard,,bloquee,true,50000,false,2017-05-12
108,108,630448422943,electron,,expiree,false,10000,false,2019-02-16
109,109,372025909479856,platinum,,expiree,false,20000,false,2021-01-20
110,110,3583281826886157,platinum,,bloquee,true,20000,false,2024-09-22
111,111,4554398780157,platinum,,bloquee,false,5000,true,2019-01-19
112,112,4056164840850,visa,,expiree,true,10000,true,2016-07-06
113,113,180070435811281,gold,,bloquee,true,50000,true,2016-04-21
114,114,676313361385,electron,,active,true,50000,true,2016-06-13
115,115,3512075011024814,gold,,expiree,true,10000,false,2020-12-04
116,116,4667665061802,mastercard,,bloquee,false,10000,false,2024-01-19
117,117,3590158144914765,mastercard,,active,false,20000,false,2020-01-16
118,118,4728326842450886,platinum,,active,false,50000,true,2023-07-25
119,119,5209968814353682,visa,,active,false,10000,false,2024-06-23
120,120,4394312908781417,platinum,,expiree,false,10000,true,2025-01-07
121,121,2239755231491356,electron,,bloquee,false,20000,false,2023-05-07
122,122,30594929955629,gold,,bloquee,false,5000,false,2023-05-08
123,123,343645257775476,gold,,bloquee,true,5000,false,2018-07-18
124,124,2222428341108091,electron,,bloquee,false,50000,false,2016-12-14
125,125,6011084887256392,electron,,expiree,true,50000,false,2022-08-21
126,126,4788165803928272297,electron,,active,true,5000,false,2022-07-06
127,127,4750373145303850,mastercard,,active,false,20000,false,2023-04-01
128,128,38005184498926,gold,,active,true,50000,false,2016-03-23
129,129,4591846386557790,electron,,active,true,50000,false,2016-12-23
130,130,213172318432226,platinum,,expiree,false,10000,true,2022-02-25
131,131,3536517773926035,visa,,expiree,false,10000,true,2021-01-28
132,132,4280920242869909,visa,,active,true,20000,true,2019-07-15
133,133,3513797723692922,gold,,bloquee,false,50000,false,2018-07-16
134,134,4257991366210385,gold,,active,false,5000,false,2022-12-08
135,135,180029127990886,visa,,active,true,10000,false,2022-06-25
136,136,5372980686508633,visa,,active,false,20000,false,2020-01-16
137,137,36599162473143,visa,,active,true,5000,false,2019-07-22
138,138,180043009818065,platinum,,expiree,false,50000,false,2022-11-04
139,139,4651269448698,platinum,,active,true,5000,true,2016-12-20
140,140,3563688725887447,platinum,,expiree,false,50000,true,2024-07-02
141,141,372137213865892,electron,,bloquee,true,50000,false,2016-11-21
142,142,4260127961143516,mastercard,,expiree,false,5000,true,2019-04-29
143,143,60466984907,visa,,active,true,10000,false,2022-03-21
144,144,4703843098839207,mastercard,,expiree,false,20000,true,2023-06-30
145,145,4214656693804,gold,,bloquee,false,5000,false,2022-02-15
146,146,3518489554393763,platinum,,bloquee,true,20000,false,2018-02-08
147,147,572681818454,platinum,,active,false,10000,true,2015-05-05
148,148,180089476973578,platinum,,expiree,true,20000,false,2019-10-25
149,149,30071416335656,electron,,bloquee,true,5000,false,2020-02-27
150,150,213143416518273,electron,,bloquee,false,20000,false,2024-10-04
151,151,349423733343333,electron,,expiree,true,10000,true,2023-08-02
152,152,4211179080758,visa,,active,true,10000,false,2018-07-14
153,153,379472846392086,electron,,expiree,false,5000,false,2019-01-03
154,154,6580856271875007,gold,,bloquee,true,10000,false,2025-02-26
155,155,4915594284346,mastercard,,bloquee,true,5000,true,2024-07-12
156,156,3552763655647294,platinum,,expiree,false,10000,true,2020-08-21
157,157,3514386632270266,gold,,bloquee,true,5000,true,2016-02-27
158,158,4744890612034717,platinum,,bloquee,true,5000,false,2023-06-01
159,159,3545588450615935,electron,,expiree,true,5000,false,2024-05-04
160,160,3545587716947223,platinum,,active,false,10000,false,2016-04-09
161,161,379961125355442,platinum,,active,false,10000,false,2016-08-31
162,162,4475987622023410,visa,,active,true,5000,false,2016-06-20
163,163,4111780068114920,gold,,bloquee,false,5000,false,2016-06-17
164,164,4433472282005578,electron,,active,false,20000,false,2019-04-22
165,165,180087282997963,electron,,bloquee,false,50000,true,2017-05-05
166,166,4578317456424003,platinum,,active,false,5000,false,2019-06-29
167,167,4478077406493083,platinum,,expiree,true,50000,true,2015-12-24
168,168,4866326634169,visa,,expiree,false,10000,true,2016-09-12
169,169,4484631224179,mastercard,,expiree,false,20000,false,2025-03-26
170,170,30497350208023,platinum,,expiree,false,10000,true,2024-03-13
171,171,4270312073564757057,electron,,bloquee,false,10000,false,2019-09-28
172,172,4461872346013671,visa,,bloquee,false,10000,false,2020-08-25
173,173,3537183764520888,gold,,active,true,5000,false,2019-10-28
174,174,4435031365024916300,electron,,active,false,10000,true,2017-07-13
175,175,3592513271950057,platinum,,expiree,true,50000,true,2020-05-29
176,176,4273585730652403,platinum,,active,true,5000,true,2020-09-06
177,177,3584873928557493,visa,,expiree,false,5000,false,2016-07-15
178,178,213118274485708,mastercard,,expiree,true,10000,true,2023-02-06
179,179,4209593518638783,platinum,,expiree,true,10000,true,2024-11-18
180,180,3556511810220317,visa,,active,true,5000,true,2016-07-20
181,181,4096789940537,mastercard,,active,true,5000,true,2018-12-06
182,182,3503717058650941,platinum,,bloquee,false,50000,false,2019-10-25
183,183,60414138119,visa,,active,true,50000,false,2021-03-29
184,184,4338392886198,visa,,active,true,20000,true,2019-06-17
185,185,4612286852897559,electron,,bloquee,true,20000,true,2020-02-25
186,186,376659398368455,mastercard,,expiree,false,20000,true,2022-10-04
187,187,36004908240435,visa,,expiree,true,50000,false,2020-06-13
188,188,344888992107527,gold,,expiree,true,10000,false,2024-04-20
189,189,4933441969315727918,electron,,bloquee,false,5000,true,2024-09-27
190,190,4096105566139063,visa,,active,true,50000,false,2017-01-24
191,191,4589258320679981364,mastercard,,active,false,20000,false,2019-10-21
192,192,6011251790864162,platinum,,bloquee,false,5000,false,2017-02-15
193,193,6011278376938987,visa,,expiree,true,50000,false,2024-09-18
194,194,4465911665538,gold,,bloquee,false,5000,true,2019-12-09
195,195,344259792703354,visa,,expiree,false,20000,false,2018-11-20
196,196,3510392405147701,visa,,expiree,true,10000,false,2021-02-19
197,197,4388487920691,visa,,bloquee,false,5000,false,2019-10-18
198,198,4420439407016454,platinum,,expiree,false,50000,true,2023-08-13
199,199,5146368157981239,platinum,,expiree,true,20000,true,2016-03-02
200,200,30003845762051,gold,,bloquee,true,20000,true,2022-07-06
201,201,374384046084329,gold,,expiree,false,10000,false,2016-01-20
202,202,6011168936392645,platinum,,bloquee,true,10000,false,2020-12-23
203,203,3578232983248266,platinum,,expiree,true,50000,false,2017-07-12
204,204,4518812520566477,platinum,,active,false,5000,false,2019-10-05
205,205,4231220994999396,platinum,,bloquee,true,20000,false,2022-10-27
206,206,4517289752676,visa,,expiree,false,50000,true,2022-07-31
207,207,4330604633312790,platinum,,active,true,5000,true,2015-06-21
208,208,3573660965699988,mastercard,,bloquee,false,50000,true,2016-08-01
209,209,4817703886086804,gold,,active,false,5000,true,2017-11-03
210,210,4644726490827718120,platinum,,bloquee,true,5000,false,2015-12-01
211,211,3566570279371456,electron,,bloquee,false,5000,false,2025-03-19
212,212,4111751868926862,gold,,bloquee,false,5000,true,2017-10-28
213,213,4922220644742125,gold,,bloquee,false,10000,true,2017-06-21
214,214,676240777802,visa,,expiree,true,20000,true,2020-07-19
215,215,30339776719904,platinum,,expiree,false,10000,false,2015-12-25
216,216,180098302205022,electron,,active,true,10000,false,2018-11-17
217,217,676399451019,electron,,expiree,true,50000,true,2019-07-20
218,218,4499982795014553,electron,,expiree,false,20000,true,2017-01-19
219,219,6011681472145862,visa,,expiree,false,20000,false,2024-10-29
220,220,4901981794691,gold,,active,false,50000,true,2017-12-07
221,221,378995299787726,visa,,expiree,true,10000,false,2018-01-25
222,222,3543010713966056,gold,,active,true,5000,true,2022-04-26
223,223,213103441448854,gold,,active,false,50000,false,2018-05-10
224,224,502055699024,visa,,bloquee,true,10000,true,2020-12-15
225,225,377702727857605,electron,,bloquee,true,10000,false,2019-07-12
226,226,180095880395514,electron,,active,true,5000,false,2018-01-05
227,227,4568299629145046171,platinum,,expiree,true,10000,false,2017-02-21
228,228,4743842150311,gold,,active,true,10000,false,2015-12-18
229,229,213178235784524,visa,,bloquee,false,5000,false,2019-02-02
230,230,2623076810409154,visa,,active,false,5000,true,2023-02-19
231,231,502084094353,visa,,expiree,false,5000,true,2020-06-30
232,232,4485714224101,gold,,active,true,20000,true,2019-02-05
233,233,213138585424931,gold,,active,true,20000,true,2018-08-04
234,234,2269587020701601,gold,,active,true,10000,true,2020-11-20
235,235,6529979545381794,visa,,bloquee,true,50000,false,2016-06-26
236,236,2417477332945628,visa,,active,false,20000,true,2020-01-20
237,237,4577017157724591,platinum,,expiree,false,20000,false,2023-12-21
238,238,4615814876963938,mastercard,,expiree,true,50000,false,2024-06-04
239,239,4615396695832197,platinum,,expiree,true,50000,false,2015-10-10
240,240,30199758172468,mastercard,,expiree,false,20000,false,2019-10-01
241,241,3596570132902277,visa,,bloquee,true,10000,false,2025-03-07
242,242,4997335494651909867,mastercard,,bloquee,true,10000,true,2015-12-15
243,243,4058008514036967,visa,,bloquee,false,5000,true,2022-09-12
244,244,376668327238655,electron,,expiree,false,10000,true,2020-08-22
245,245,6011422010276210,visa,,bloquee,false,10000,false,2024-01-02
246,246,4796927868765326,gold,,bloquee,true,20000,true,2021-11-09
247,247,3597384689500974,gold,,expiree,true,50000,false,2018-07-16
248,248,349712847818911,platinum,,bloquee,true,50000,false,2016-01-22
249,249,30189490580771,mastercard,,expiree,true,20000,false,2022-09-21
250,250,30565442094948,platinum,,expiree,true,20000,true,2024-02-24
251,251,4929049047128142,electron,,active,false,20000,false,2018-08-28
252,252,4440192927524376,mastercard,,expiree,true,20000,false,2022-08-22
253,253,213151292766379,visa,,bloquee,false,20000,true,2020-12-02
254,254,4395041027674786,gold,,bloquee,false,20000,false,2020-08-23
255,255,6574286047658016,visa,,bloquee,false,10000,true,2017-06-04
256,256,180069454414969,platinum,,active,true,5000,false,2020-05-31
257,257,4938525800106184,electron,,active,true,50000,false,2020-07-25
258,258,4534430091093910,visa,,expiree,true,10000,true,2022-04-02
259,259,5392692124471748,visa,,active,false,50000,true,2022-02-24
260,260,6542140665044273,platinum,,expiree,true,10000,false,2020-05-02
261,261,30396271286391,electron,,expiree,false,50000,true,2017-06-20
262,262,2441011947072005,mastercard,,active,true,50000,false,2022-06-16
263,263,6525690877661836,mastercard,,bloquee,false,5000,true,2021-10-02
264,264,6519855460158510,visa,,active,true,10000,false,2018-04-07
265,265,30432806346150,electron,,expiree,false,5000,true,2024-12-26
266,266,2432030937618479,mastercard,,bloquee,true,5000,false,2022-03-19
267,267,30005050613879,visa,,bloquee,true,10000,false,2015-04-24
268,268,4931027079032024,platinum,,bloquee,false,20000,true,2020-03-08
269,269,571792911174,gold,,bloquee,true,50000,true,2022-08-14
270,270,3513656519825304,gold,,expiree,true,10000,false,2020-10-14
271,271,4114262582739026,platinum,,expiree,true,20000,false,2022-10-27
272,272,4207100219467231,visa,,active,true,5000,true,2018-12-09
273,273,4876329092791454,gold,,bloquee,true,20000,true,2023-05-10
274,274,676133181955,mastercard,,expiree,true,5000,false,2018-03-11
275,275,213173403127721,electron,,active,true,10000,false,2016-09-29
276,276,4054364597010823,visa,,expiree,false,5000,true,2024-01-27
277,277,675981137994,platinum,,bloquee,true,10000,false,2021-01-02
278,278,6011531531363636,platinum,,expiree,true,20000,false,2019-04-20
279,279,38062397265279,mastercard,,bloquee,false,10000,true,2020-08-01
280,280,4435209042179,electron,,bloquee,true,5000,true,2018-09-10
281,281,6011534929298315,gold,,bloquee,true,5000,false,2015-09-20
282,282,180039774063358,platinum,,bloquee,true,5000,false,2019-06-21
283,283,3592906007806868,gold,,bloquee,false,5000,true,2016-07-17
284,284,3577318063254315,gold,,expiree,false,10000,true,2022-05-10
285,285,30427990772625,mastercard,,expiree,false,20000,false,2025-02-05
286,286,370165804649898,mastercard,,active,true,50000,false,2021-11-01
287,287,4950850165798,gold,,bloquee,true,20000,false,2022-02-07
288,288,372818325381791,visa,,active,true,20000,true,2017-10-24
289,289,3535548640155772,visa,,bloquee,true,50000,false,2015-05-26
290,290,213178847951370,electron,,active,false,10000,false,2017-02-12
291,291,2292411241272386,visa,,bloquee,false,10000,true,2022-07-15
292,292,576827567040,mastercard,,expiree,true,10000,true,2018-04-18
293,293,5138569557988779,electron,,bloquee,true,5000,true,2024-02-12
294,294,3542437540254722,visa,,expiree,true,50000,true,2016-02-28
295,295,4222231059274527,electron,,active,true,50000,false,2019-07-18
296,296,213155257828413,mastercard,,active,true,5000,true,2023-01-26
297,297,630472752082,gold,,bloquee,false,10000,true,2023-03-18
298,298,377492975170287,platinum,,active,false,20000,false,2024-05-04
299,299,4693751509398343011,electron,,expiree,false,20000,true,2020-09-13
300,300,30186375998052,visa,,active,false,20000,true,2022-11-01
301,301,4565045547813760,gold,,active,true,10000,false,2023-11-22
302,302,30426629912347,mastercard,,active,true,50000,false,2024-08-16
303,303,180019610646285,electron,,expiree,true,5000,false,2018-01-04
304,304,3532648704947875,gold,,bloquee,true,10000,true,2023-05-19
305,305,639002447147,gold,,active,true,20000,true,2019-09-18
306,306,4301471959796476,mastercard,,expiree,true,10000,true,2019-07-06
307,307,2288904290257254,gold,,expiree,true,5000,true,2020-01-09
308,308,575650448187,visa,,bloquee,true,50000,true,2024-03-04
309,309,4192855445189522,electron,,expiree,true,50000,true,2019-05-17
310,310,4576521328338984,visa,,expiree,false,10000,false,2022-10-15
311,311,213167112075452,electron,,expiree,true,20000,false,2020-03-01
312,312,30524013223428,gold,,active,true,50000,true,2019-12-05
313,313,4611076031089074,visa,,bloquee,true,50000,true,2020-09-28
314,314,4140119393250124952,visa,,expiree,false,10000,false,2016-09-03
315,315,4891190833428017,mastercard,,expiree,false,20000,false,2017-11-14
316,316,4592712566381,visa,,expiree,true,10000,true,2021-10-27
317,317,6011517182754801,gold,,active,true,5000,true,2017-11-26
318,318,371647947386461,platinum,,active,false,10000,true,2018-12-11
319,319,2552071678112664,mastercard,,expiree,true,5000,false,2022-05-12
320,320,3521535396136748,visa,,bloquee,false,50000,false,2020-12-07
321,321,3565796784271144,mastercard,,expiree,true,5000,true,2023-03-26
322,322,30320101702690,gold,,bloquee,true,5000,true,2016-05-12
323,323,344991187734772,visa,,active,true,10000,true,2022-06-14
324,324,4880061675677002848,electron,,expiree,true,10000,true,2025-03-29
325,325,3576246719788975,mastercard,,expiree,false,50000,false,2015-08-21
326,326,213180647969545,mastercard,,expiree,true,10000,false,2025-02-05
327,327,501890255901,mastercard,,active,true,5000,false,2023-06-02
328,328,4616556503334913,electron,,active,false,20000,false,2021-04-15
329,329,3541520850769867,mastercard,,active,true,20000,true,2021-12-09
330,330,60479056966,gold,,bloquee,false,20000,false,2024-06-17
331,331,3571357852945630,platinum,,active,true,10000,true,2024-08-05
332,332,4834404963919194,visa,,expiree,true,5000,false,2019-01-21
333,333,4987635148468536648,visa,,bloquee,false,50000,true,2019-01-14
334,334,180082082973744,mastercard,,expiree,true,5000,true,2022-09-20
335,335,4908357232466515,electron,,active,false,5000,false,2015-10-19
336,336,4442493631238,gold,,active,true,5000,true,2021-01-08
337,337,4778660324200,visa,,bloquee,false,5000,true,2022-03-08
338,338,4070015941651623198,electron,,bloquee,false,50000,false,2018-02-10
339,339,213189847139155,gold,,active,false,10000,false,2017-06-23
340,340,3536321234764907,mastercard,,active,false,20000,false,2024-05-22
341,341,180015867342578,visa,,bloquee,false,20000,false,2022-01-03
342,342,370900348645188,visa,,bloquee,false,50000,true,2024-11-27
343,343,4606441343274,electron,,expiree,true,10000,false,2015-10-07
344,344,370417765612484,electron,,active,false,50000,true,2022-08-06
345,345,379857002720635,gold,,active,true,10000,false,2023-02-27
346,346,4911238296577242953,mastercard,,bloquee,true,5000,false,2016-02-28
347,347,4165266930089317345,mastercard,,bloquee,true,50000,true,2021-10-02
348,348,4696942152910869,electron,,expiree,false,20000,true,2018-11-27
349,349,38133344762633,visa,,expiree,true,50000,true,2020-11-11
350,350,4362620443978,platinum,,bloquee,true,10000,false,2021-10-02
351,351,4971072563669,visa,,expiree,false,20000,true,2022-06-23
352,352,3511800537599002,mastercard,,expiree,false,10000,true,2016-09-11
353,353,180046528092427,electron,,bloquee,true,20000,true,2015-08-20
354,354,30572158624157,electron,,expiree,true,10000,true,2024-06-24
355,355,4456449485625727,electron,,active,true,10000,true,2021-04-04
356,356,4032032074276178,visa,,expiree,false,50000,false,2016-06-21
357,357,30587771215134,visa,,bloquee,false,20000,false,2015-12-28
358,358,4284993908926137158,gold,,expiree,false,50000,false,2015-10-31
359,359,4659152017774905094,gold,,bloquee,false,20000,true,2018-09-11
360,360,343045018961640,electron,,active,false,20000,false,2017-11-23
361,361,4103266421476,electron,,bloquee,false,50000,true,2017-06-14
362,362,6592515837767498,gold,,active,false,10000,true,2017-04-01
363,363,6011659266108577,mastercard,,bloquee,false,20000,true,2019-01-05
364,364,4788147617423,platinum,,expiree,true,20000,false,2019-08-31
365,365,4386490810818665,platinum,,active,false,10000,false,2021-07-31
366,366,30454918017222,platinum,,active,false,20000,false,2017-04-02
367,367,6011164597794526,gold,,bloquee,false,10000,true,2018-02-02
368,368,4941680061027762,mastercard,,active,false,20000,true,2017-02-21
369,369,4499564122031037,mastercard,,bloquee,true,20000,true,2015-09-28
370,370,567236831473,gold,,active,false,5000,false,2025-02-05
371,371,36012277707934,platinum,,expiree,true,10000,true,2021-09-09
372,372,4050166799840767899,gold,,active,false,20000,false,2018-09-05
373,373,3530806958146717,mastercard,,expiree,true,50000,false,2019-06-09
374,374,3576024375738398,mastercard,,expiree,false,10000,true,2020-06-07
375,375,4972466572934171,visa,,active,true,50000,false,2017-05-13
376,376,4297167433800548,mastercard,,active,true,5000,false,2016-01-02
377,377,4280156193183749,platinum,,bloquee,true,20000,false,2024-05-14
378,378,348428910771199,mastercard,,active,false,20000,true,2021-08-10
379,379,2700812135247879,gold,,expiree,false,20000,false,2023-11-29
380,380,5555213760375482,gold,,active,true,50000,true,2021-02-09
381,381,2255653286326669,mastercard,,expiree,true,50000,false,2022-06-14
382,382,30507208115566,mastercard,,active,false,50000,false,2017-02-05
383,383,4060290846684559,mastercard,,expiree,false,50000,false,2021-06-19
384,384,4673899756341085620,gold,,active,true,50000,true,2023-02-15
385,385,180031884852002,visa,,bloquee,true,5000,false,2017-11-27
386,386,180034681054855,mastercard,,bloquee,true,5000,false,2018-04-20
387,387,639017490751,electron,,expiree,true,5000,true,2024-03-07
388,388,3554492683158938,mastercard,,bloquee,true,10000,true,2019-11-25
389,389,371266110627377,electron,,active,false,50000,true,2024-06-17
390,390,379886497677620,visa,,bloquee,true,20000,true,2023-07-13
391,391,213177288137705,platinum,,expiree,true,10000,false,2022-09-18
392,392,4196115940821541,platinum,,expiree,true,50000,true,2019-11-14
393,393,4702296044327018519,visa,,active,true,10000,false,2019-06-25
394,394,630479497566,platinum,,bloquee,false,10000,false,2020-01-19
395,395,3528777251996633,mastercard,,expiree,true,10000,false,2019-06-15
396,396,6580741209481815,mastercard,,bloquee,true,20000,false,2023-03-18
397,397,3598378018204331,mastercard,,active,true,10000,true,2021-10-01
398,398,3518956907056263,gold,,active,true,10000,true,2015-10-17
399,399,180064111824221,electron,,bloquee,false,10000,false,2020-10-31
400,400,5546209520046159,mastercard,,active,true,50000,false,2023-08-07
401,401,6546103399378868,visa,,expiree,false,5000,false,2021-05-04
402,402,4578617063048913820,gold,,active,true,50000,true,2021-02-03
403,403,3571832582386875,platinum,,active,False,50000,True,2020-01-02
404,404,675994200748,platinum,,active,True,50000,True,2015-06-24
405,405,4539840289141612842,visa,,active,False,5000,True,2018-07-22
406,406,6011985547435533,gold,,active,False,10000,True,2019-05-30
407,407,3502097002687682,visa,,bloquee,False,20000,False,2022-03-21
408,408,4807156956201757,gold,,bloquee,True,20000,False,2024-09-30
409,409,4030453194337,electron,,active,True,10000,True,2019-05-24
410,410,344793036149875,mastercard,,active,True,5000,True,2023-05-28
411,411,213199921921246,platinum,,bloquee,False,10000,False,2023-08-27
412,412,3584308948706051,platinum,,expiree,true,10000,true,2015-08-07
413,413,6518775803046878,electron,,bloquee,true,50000,true,2020-04-23
414,414,630435190362,platinum,,bloquee,true,20000,true,2022-03-08
415,415,4254110760955,gold,,active,false,10000,true,2019-06-11
416,416,4173505831997179113,visa,,expiree,true,20000,false,2025-03-13
417,417,630451207041,gold,,bloquee,true,10000,true,2023-05-10
418,418,4110804661963995,gold,,expiree,false,10000,false,2024-05-03
419,419,36769915078594,visa,,expiree,false,10000,true,2022-07-17
420,420,5409193928456796,visa,,active,false,10000,false,2024-08-31
421,421,4200249685498225,visa,,expiree,false,50000,true,2021-04-16
422,422,4450892038806533315,platinum,,expiree,false,20000,false,2023-01-09
423,423,4795995946523,visa,,bloquee,false,50000,true,2020-07-09
424,424,30073033793374,electron,,bloquee,false,5000,true,2019-03-24
