id_employe,nom,prenom,poste,departement,telephone,email,adresse,date_embauche,salaire_mensuel
114,ouzzani,mehdi,charg de clientle,conformit,628215281,mehdiouzzanibanquema,160 rue bennani mdina kenitra maroc,2023-01-08,27431.22
115,fadili,imane,gestionnaire,risques,682082891,imanefadilibanquema,37 rue bensaid oasis temara maroc,2025-04-11,27387.23
116,naciri,bouchra,directeur,agence,627455427,bouchranaciribanquema,18 rue sekkat belvdre rabat maroc,2011-01-18,29488.78
117,hariri,mouna,analyste,finances,633143117,mounahariribanquema,252 rue rguig mdina temara maroc,2022-12-17,17368.22
118,naciri,youssef,directeur,it,696815386,youssefnaciribanquema,128 rue elmansouri tabriquet oujda maroc,2016-06-22,10356.84
119,tahiri,nadia,guichetier,finances,661722494,nadiatahiribanquema,27 rue hariri sidi marouf temara maroc,2014-03-05,17315.87
120,maaroufi,fatima,analyste,it,628965255,fatimamaaroufibanquema,41 rue sekkat maarif rabat maroc,2024-03-15,19030.75
121,bennis,yassine,charg de clientle,it,649452747,yassinebennisbanquema,107 rue elkhatib tabriquet rabat maroc,2024-12-21,26351.01
122,chakiri,rim,conseiller,risques,673733039,rimchakiribanquema,269 rue elalami mdina kenitra maroc,2023-10-24,14069.57
123,rguig,laila,directeur,conformit,644054988,lailarguigbanquema,217 rue touil hay riad casablanca maroc,2017-10-19,11312.73
124,baroudi,othmane,analyste,conformit,690228565,othmanebaroudibanquema,261 rue chraibi oasis agadir maroc,2011-03-18,23207.49
125,maaroufi,mehdi,guichetier,risques,630205031,mehdimaaroufibanquema,37 rue hariri ain sebaa rabat maroc,2024-04-08,13640.38
126,hariri,nadia,conseiller,relations clients,639506538,nadiahariribanquema,25 rue chouaib yacoub el mansour rabat maroc,2019-12-29,11837.78
127,sekkat,houda,guichetier,relations clients,665495867,houdasekkatbanquema,220 rue zahiri yacoub el mansour kenitra maroc,2012-08-15,10370.08
128,elalami,bouchra,gestionnaire,it,692443669,bouchraelalamibanquema,22 rue elmansouri mdina temara maroc,2013-09-13,16698.01
129,bensaid,zineb,charg de clientle,finances,646589765,zinebbensaidbanquema,192 rue bennis tabriquet kenitra maroc,2011-01-19,20901.64
130,jebari,zakaria,analyste,conformit,635536025,zakariajebaribanquema,182 rue sekkat gueliz tanger maroc,2010-11-11,15952.09
131,boukhriss,fatima,gestionnaire,relations clients,666356892,fatimaboukhrissbanquema,200 rue chouaib yacoub el mansour marrakech maroc,2018-03-04,11316.21
132,boukhriss,laila,directeur,agence,672712681,lailaboukhrissbanquema,246 rue rguig sidi marouf casablanca maroc,2011-07-06,12011.26
133,chouaib,houda,analyste,risques,652559106,houdachouaibbanquema,46 rue amrani belvdre marrakech maroc,2024-01-30,20945.26
134,touil,amina,charg de clientle,conformit,614337677,aminatouilbanquema,30 rue naciri sidi moumen ttouan maroc,2017-08-16,5209.29
135,sekkat,tarik,directeur,conformit,663476100,tariksekkatbanquema,210 rue moutawakil tabriquet casablanca maroc,2020-05-27,17162.26
136,maaroufi,soukaina,charg de clientle,conformit,654765932,soukainamaaroufibanquema,126 rue elmansouri mdina agadir maroc,2015-08-24,14989.33
137,maaroufi,yassine,analyste,relations clients,627466246,yassinemaaroufibanquema,103 rue sekkat bourgogne fes maroc,2021-11-18,29580.19
138,baroudi,mohamed,charg de clientle,agence,686587303,mohamedbaroudibanquema,239 rue elkhatib belvdre casablanca maroc,2010-07-22,5823.63
139,tahiri,mouna,conseiller,agence,666561395,mounatahiribanquema,186 rue zerouali sidi moumen agadir maroc,2010-05-20,19600.18
140,chraibi,othmane,conseiller,agence,652192439,othmanechraibibanquema,205 rue zerouali sidi moumen temara maroc,2018-07-15,18238.08
141,hariri,salma,analyste,relations clients,647135605,salmahariribanquema,230 rue naciri hay riad temara maroc,2014-09-01,5989.02
142,tahiri,karim,gestionnaire,conformit,622483511,karimtahiribanquema,218 rue alaoui yacoub el mansour kenitra maroc,2022-03-23,23866.98
143,rguig,zakaria,charg de clientle,it,671949302,zakariarguigbanquema,1 rue boukhriss tachfine kenitra maroc,2024-06-04,14701.83
144,hariri,samira,conseiller,conformit,692424462,samirahariribanquema,76 rue lahlou bourgogne temara maroc,2021-06-04,13694.46
145,chakiri,abdelhak,charg de clientle,it,680699733,abdelhakchakiribanquema,192 rue elkhatib mdina oujda maroc,2011-10-12,5762.78
146,lahlou,saad,gestionnaire,conformit,634223703,saadlahloubanquema,119 rue elkhatib mabella marrakech maroc,2025-03-25,8834.33
147,rguig,soukaina,charg de clientle,risques,674582711,soukainarguigbanquema,143 rue zerouali mdina casablanca maroc,2018-11-18,20201.69
148,rguig,imane,conseiller,risques,657587342,imanerguigbanquema,130 rue bennani agdal fes maroc,2020-01-26,26767.44
149,elidrissi,samira,analyste,risques,651275753,samiraelidrissibanquema,158 rue bensaid maarif oujda maroc,2023-08-31,9543.56
150,ouzzani,khadija,directeur,relations clients,632502892,khadijaouzzanibanquema,257 rue bakkali yacoub el mansour agadir maroc,2015-08-14,11780.04
151,jebari,omar,directeur,agence,645226197,omarjebaribanquema,168 rue bennis hay riad casablanca maroc,2019-11-11,4433.86
152,fadili,saad,guichetier,finances,696589185,saadfadilibanquema,259 rue bensaid tabriquet marrakech maroc,2022-05-29,29794.92
153,elidrissi,nadia,conseiller,risques,650593660,nadiaelidrissibanquema,255 rue bensaid belvdre oujda maroc,2015-11-15,6344.49
154,touil,abdelhak,directeur,it,628972245,abdelhaktouilbanquema,97 rue elkhatib ain sebaa rabat maroc,2022-03-14,13721.09
155,boukhriss,nadia,gestionnaire,it,638190740,nadiaboukhrissbanquema,41 rue moutawakil ain sebaa tanger maroc,2015-04-16,24171.33
156,moutawakil,saad,directeur,it,654005745,saadmoutawakilbanquema,282 rue bennis yacoub el mansour rabat maroc,2014-03-02,24975.01
157,bennani,rayan,gestionnaire,relations clients,632925613,rayanbennanibanquema,39 rue alaoui belvdre temara maroc,2024-02-05,12587.59
158,naciri,ilham,guichetier,risques,693326883,ilhamnaciribanquema,236 rue moutawakil oasis rabat maroc,2021-04-17,17988.96
159,sekkat,rachid,conseiller,it,686764444,rachidsekkatbanquema,160 rue elidrissi hay riad ttouan maroc,2012-09-13,27179.74
160,chraibi,hassan,analyste,risques,644655142,hassanchraibibanquema,273 rue amrani hay riad casablanca maroc,2023-11-15,10737.01
161,lahlou,othmane,directeur,it,691640102,othmanelahloubanquema,81 rue fassi belvdre fes maroc,2019-12-17,16046.07
162,zerouali,mouna,gestionnaire,finances,618497890,mounazeroualibanquema,53 rue zahiri sidi marouf casablanca maroc,2019-03-08,8023.18
163,fadili,nour,conseiller,risques,663898807,nourfadilibanquema,45 rue jebari agdal agadir maroc,2018-04-10,10485.92
164,bakkali,houda,guichetier,agence,653047353,houdabakkalibanquema,28 rue amrani hay riad tanger maroc,2017-05-02,8935.04
165,naciri,karim,conseiller,conformit,681514416,karimnaciribanquema,231 rue chouaib maarif agadir maroc,2020-05-24,22517.46
166,fadili,amina,gestionnaire,finances,692397790,aminafadilibanquema,209 rue moutawakil bourgogne ttouan maroc,2019-10-02,21254.74
167,bakkali,salma,directeur,finances,650993688,salmabakkalibanquema,222 rue maaroufi oasis kenitra maroc,2020-01-21,7111.66
168,elidrissi,imane,gestionnaire,it,664574223,imaneelidrissibanquema,51 rue chakiri sidi moumen ttouan maroc,2013-12-07,10939.42
169,chakiri,amina,charg de clientle,agence,692963151,aminachakiribanquema,43 rue alaoui belvdre oujda maroc,2025-01-09,4595.6
170,fassi,samira,charg de clientle,conformit,617901857,samirafassibanquema,48 rue elkhatib mabella oujda maroc,2024-11-22,17687.34
171,chakiri,saad,guichetier,relations clients,681879932,saadchakiribanquema,64 rue elalami gueliz agadir maroc,2017-04-25,25429.9
172,alaoui,omar,directeur,conformit,677004355,omaralaouibanquema,43 rue baroudi tachfine fes maroc,2016-03-02,14454.82
173,baroudi,samira,gestionnaire,risques,614090552,samirabaroudibanquema,196 rue chakiri sidi moumen ttouan maroc,2012-07-17,20417.11
174,bensaid,rayan,gestionnaire,risques,656340372,rayanbensaidbanquema,2 rue elkhatib mabella rabat maroc,2020-06-06,7617.96
175,naciri,houda,analyste,agence,694194414,houdanaciribanquema,68 rue elidrissi gueliz kenitra maroc,2014-09-05,22289.94
176,zahiri,laila,gestionnaire,finances,645880608,lailazahiribanquema,238 rue alaoui maarif casablanca maroc,2015-01-19,20007.8
177,tahiri,omar,conseiller,risques,672153630,omartahiribanquema,98 rue elidrissi tabriquet agadir maroc,2018-05-04,19861.57
178,amrani,soukaina,charg de clientle,agence,678681848,soukainaamranibanquema,23 rue bakkali gueliz tanger maroc,2023-05-03,22368.92
179,chakiri,ilham,gestionnaire,agence,648659554,ilhamchakiribanquema,195 rue bennani maarif oujda maroc,2012-04-09,8511.07
180,alaoui,imane,directeur,relations clients,658132110,imanealaouibanquema,215 rue naciri maarif agadir maroc,2017-05-03,10850.74
181,naciri,ayoub,conseiller,finances,687788812,ayoubnaciribanquema,22 rue lahlou mdina ttouan maroc,2024-07-13,26636.24
182,baroudi,zakaria,charg de clientle,finances,662632484,zakariabaroudibanquema,170 rue rguig ain sebaa ttouan maroc,2022-10-08,9310.18
183,fassi,samira,guichetier,it,628057280,samirafassibanquema,182 rue rguig tachfine tanger maroc,2011-10-21,18530.46
184,elmansouri,zakaria,charg de clientle,it,667118764,zakariaelmansouribanquema,196 rue moutawakil yacoub el mansour temara maroc,2020-12-04,20209.45
185,maaroufi,youssef,guichetier,risques,696859583,youssefmaaroufibanquema,27 rue rguig oasis marrakech maroc,2023-10-18,25926.99
186,elkhatib,khadija,conseiller,finances,661296749,khadijaelkhatibbanquema,100 rue elidrissi tabriquet rabat maroc,2022-07-27,16531.85
187,ouzzani,tarik,gestionnaire,agence,687499715,tarikouzzanibanquema,41 rue chraibi bourgogne kenitra maroc,2019-01-23,9572.3
188,elkhatib,ibrahim,gestionnaire,finances,679934871,ibrahimelkhatibbanquema,132 rue sekkat agdal tanger maroc,2012-09-15,22976.17
189,elidrissi,saad,charg de clientle,agence,689070526,saadelidrissibanquema,158 rue amrani belvdre ttouan maroc,2018-05-16,10750.0
190,naciri,rayan,guichetier,it,669122877,rayannaciribanquema,120 rue jebari mdina casablanca maroc,2013-09-29,10223.58
191,moutawakil,khadija,gestionnaire,finances,617555847,khadijamoutawakilbanquema,111 rue baroudi yacoub el mansour oujda maroc,2023-12-30,22946.53
192,chakiri,ayoub,gestionnaire,relations clients,678522565,ayoubchakiribanquema,285 rue boukhriss maarif kenitra maroc,2015-08-05,25182.0
193,elmansouri,nadia,directeur,conformit,632387384,nadiaelmansouribanquema,77 rue ouzzani oasis tanger maroc,2024-02-06,28420.79
194,elidrissi,imane,conseiller,agence,682010674,imaneelidrissibanquema,85 rue lahlou ain sebaa fes maroc,2019-06-19,17700.5
195,chakiri,mouna,gestionnaire,finances,678444765,mounachakiribanquema,22 rue rguig hay riad tanger maroc,2011-09-17,15104.44
196,tahiri,karim,gestionnaire,agence,676465834,karimtahiribanquema,210 rue baroudi yacoub el mansour oujda maroc,2013-12-06,19881.11
197,elalami,tarik,directeur,conformit,674374848,tarikelalamibanquema,283 rue maaroufi tabriquet tanger maroc,2023-05-31,11298.89
198,bakkali,rayan,directeur,conformit,641011141,rayanbakkalibanquema,76 rue amrani mdina kenitra maroc,2022-08-24,9217.32
199,bensaid,salma,guichetier,it,694356947,salmabensaidbanquema,169 rue bennis tachfine tanger maroc,2023-06-19,22200.53
200,bensaid,tarik,charg de clientle,agence,621675008,tarikbensaidbanquema,235 rue boukhriss mabella temara maroc,2011-07-05,22349.61
201,jebari,ilham,directeur,agence,669560834,ilhamjebaribanquema,81 rue rguig tachfine oujda maroc,2010-11-28,25814.79
202,baroudi,siham,directeur,risques,644517026,sihambaroudibanquema,253 rue rguig sidi moumen ttouan maroc,2014-09-10,10973.74
203,rguig,houda,analyste,finances,696077332,houdarguigbanquema,184 rue chraibi agdal tanger maroc,2015-12-16,27054.74
204,bennis,ayoub,conseiller,it,611065188,ayoubbennisbanquema,219 rue maaroufi ain sebaa kenitra maroc,2011-01-29,28840.75
205,moutawakil,zakaria,conseiller,agence,635725680,zakariamoutawakilbanquema,57 rue elalami maarif fes maroc,2012-12-02,23723.62
206,bakkali,rayan,guichetier,risques,647685903,rayanbakkalibanquema,80 rue zahiri tachfine kenitra maroc,2016-04-15,17632.46
207,chraibi,adil,analyste,it,661213512,adilchraibibanquema,86 rue bensaid belvdre marrakech maroc,2023-06-26,5269.32
208,baroudi,ilham,gestionnaire,agence,695062950,ilhambaroudibanquema,26 rue amrani oasis agadir maroc,2019-11-09,11139.45
209,naciri,ibrahim,conseiller,finances,610672170,ibrahimnaciribanquema,154 rue elidrissi bourgogne marrakech maroc,2021-08-07,26632.14
