id_compte,id_client,numero_compte,type_compte,solde,statut,created_at,usage_compte,categorie_client,portee_compte,description_compte
20,20,ma571387859828944303007760,epargne,185923.3,suspendu,1970-01-01,joint,particulier,international,"Compte de type epargne, utilisé à titre joint, client particulier, statut suspendu, porté à l'international."
21,21,ma271262448362545351044681,epargne,310900.79,suspendu,1970-01-01,personnel,entreprise,national,"Compte de type epargne, utilisé à titre personnel, client entreprise, statut suspendu, porté à l'national."
22,22,ma611194736204019199844899,salaire,102477.9,ferme,1970-01-01,joint,premium,national,"Compte de type salaire, utilisé à titre joint, client premium, statut ferme, porté à l'national."
23,23,ma429586385078390258664558,investissement,345156.11,suspendu,1970-01-01,personnel,entreprise,international,"Compte de type investissement, utilisé à titre personnel, client entreprise, statut suspendu, porté à l'international."
24,24,ma555918910090229381889735,salaire,421324.99,actif,1970-01-01,personnel,entreprise,international,"Compte de type salaire, utilisé à titre personnel, client entreprise, statut actif, porté à l'international."
25,25,ma690217950808932930084257,salaire,300084.81,ferme,1970-01-01,professionnel,particulier,international,"Compte de type salaire, utilisé à titre professionnel, client particulier, statut ferme, porté à l'international."
26,26,ma150532927123710886359627,investissement,64487.68,ferme,1970-01-01,personnel,particulier,international,"Compte de type investissement, utilisé à titre personnel, client particulier, statut ferme, porté à l'international."
27,27,ma870798502064629407341794,courant,57683.44,suspendu,1970-01-01,joint,particulier,national,"Compte de type courant, utilisé à titre joint, client particulier, statut suspendu, porté à l'national."
28,28,ma749107412834196585327157,salaire,83725.0,ferme,1970-01-01,joint,entreprise,international,"Compte de type salaire, utilisé à titre joint, client entreprise, statut ferme, porté à l'international."
29,29,ma923166683293051605609939,investissement,142439.15,suspendu,1970-01-01,joint,premium,national,"Compte de type investissement, utilisé à titre joint, client premium, statut suspendu, porté à l'national."
30,30,ma789223033420795370170963,salaire,54290.6,actif,1970-01-01,personnel,premium,international,"Compte de type salaire, utilisé à titre personnel, client premium, statut actif, porté à l'international."
31,31,ma253665082022019617965964,courant,234505.05,actif,1970-01-01,personnel,entreprise,national,"Compte de type courant, utilisé à titre personnel, client entreprise, statut actif, porté à l'national."
32,32,ma145973503988993551050000,investissement,92279.94,ferme,1970-01-01,joint,entreprise,national,"Compte de type investissement, utilisé à titre joint, client entreprise, statut ferme, porté à l'national."
33,33,ma392253009677289081852919,investissement,307679.65,suspendu,1970-01-01,personnel,particulier,international,"Compte de type investissement, utilisé à titre personnel, client particulier, statut suspendu, porté à l'international."
34,34,ma634367915760554711729136,courant,331455.24,ferme,1970-01-01,professionnel,entreprise,international,"Compte de type courant, utilisé à titre professionnel, client entreprise, statut ferme, porté à l'international."
35,35,ma328462455101234703260792,epargne,362468.83,actif,1970-01-01,personnel,particulier,international,"Compte de type epargne, utilisé à titre personnel, client particulier, statut actif, porté à l'international."
36,36,ma658555422330533824133149,epargne,450786.33,actif,1970-01-01,professionnel,entreprise,international,"Compte de type epargne, utilisé à titre professionnel, client entreprise, statut actif, porté à l'international."
37,37,ma285083193687791826174895,salaire,252822.02,actif,1970-01-01,joint,premium,national,"Compte de type salaire, utilisé à titre joint, client premium, statut actif, porté à l'national."
38,38,ma334949302572140260242865,salaire,329023.21,suspendu,1970-01-01,joint,entreprise,national,"Compte de type salaire, utilisé à titre joint, client entreprise, statut suspendu, porté à l'national."
39,39,ma632573574744374775558615,courant,421718.98,ferme,1970-01-01,professionnel,entreprise,national,"Compte de type courant, utilisé à titre professionnel, client entreprise, statut ferme, porté à l'national."
40,40,ma773182340575463004404828,epargne,71724.56,suspendu,1970-01-01,personnel,entreprise,international,"Compte de type epargne, utilisé à titre personnel, client entreprise, statut suspendu, porté à l'international."
41,41,ma927818141388175936110704,courant,204991.59,ferme,1970-01-01,joint,particulier,international,"Compte de type courant, utilisé à titre joint, client particulier, statut ferme, porté à l'international."
42,42,ma971011325830162162409608,epargne,362053.48,suspendu,1970-01-01,joint,premium,international,"Compte de type epargne, utilisé à titre joint, client premium, statut suspendu, porté à l'international."
43,43,ma273455443433960382707084,courant,342174.09,actif,1970-01-01,joint,premium,national,"Compte de type courant, utilisé à titre joint, client premium, statut actif, porté à l'national."
44,44,ma780260644311559136818044,courant,406862.35,ferme,1970-01-01,personnel,entreprise,national,"Compte de type courant, utilisé à titre personnel, client entreprise, statut ferme, porté à l'national."
45,45,ma371441201215803721047341,courant,281841.2,actif,1970-01-01,joint,particulier,international,"Compte de type courant, utilisé à titre joint, client particulier, statut actif, porté à l'international."
46,46,ma566714519343822462077574,salaire,342820.71,suspendu,1970-01-01,personnel,particulier,international,"Compte de type salaire, utilisé à titre personnel, client particulier, statut suspendu, porté à l'international."
47,47,ma693056972159898623664362,salaire,172605.87,ferme,1970-01-01,professionnel,entreprise,international,"Compte de type salaire, utilisé à titre professionnel, client entreprise, statut ferme, porté à l'international."
48,48,ma649107055738073410773058,salaire,111958.73,suspendu,1970-01-01,professionnel,premium,international,"Compte de type salaire, utilisé à titre professionnel, client premium, statut suspendu, porté à l'international."
49,49,ma310785981960158419913317,investissement,499570.28,actif,1970-01-01,professionnel,premium,national,"Compte de type investissement, utilisé à titre professionnel, client premium, statut actif, porté à l'national."
50,50,ma125322583562721594858925,investissement,402734.97,actif,1970-01-01,joint,entreprise,international,"Compte de type investissement, utilisé à titre joint, client entreprise, statut actif, porté à l'international."
51,51,ma596115219367496950014102,epargne,493745.31,actif,1970-01-01,personnel,particulier,international,"Compte de type epargne, utilisé à titre personnel, client particulier, statut actif, porté à l'international."
52,52,ma526684747308371444702254,epargne,470943.45,suspendu,1970-01-01,joint,premium,national,"Compte de type epargne, utilisé à titre joint, client premium, statut suspendu, porté à l'national."
53,53,ma656804228798532799498664,investissement,221974.25,suspendu,1970-01-01,joint,entreprise,national,"Compte de type investissement, utilisé à titre joint, client entreprise, statut suspendu, porté à l'national."
54,54,ma508380726806903630925688,salaire,332703.44,actif,1970-01-01,professionnel,entreprise,international,"Compte de type salaire, utilisé à titre professionnel, client entreprise, statut actif, porté à l'international."
55,55,ma348930140138640878776759,epargne,108518.81,actif,1970-01-01,professionnel,entreprise,national,"Compte de type epargne, utilisé à titre professionnel, client entreprise, statut actif, porté à l'national."
56,56,ma897078818016725756585690,salaire,450182.15,ferme,1970-01-01,professionnel,entreprise,international,"Compte de type salaire, utilisé à titre professionnel, client entreprise, statut ferme, porté à l'international."
57,57,ma878551747777564080362319,salaire,106796.17,actif,1970-01-01,personnel,entreprise,national,"Compte de type salaire, utilisé à titre personnel, client entreprise, statut actif, porté à l'national."
58,58,ma756226477920283485349737,investissement,150195.12,ferme,1970-01-01,personnel,premium,international,"Compte de type investissement, utilisé à titre personnel, client premium, statut ferme, porté à l'international."
59,59,ma341062990230927825735228,epargne,168874.69,actif,1970-01-01,joint,entreprise,national,"Compte de type epargne, utilisé à titre joint, client entreprise, statut actif, porté à l'national."
60,60,ma317993139724629906747301,investissement,11966.51,actif,1970-01-01,personnel,entreprise,international,"Compte de type investissement, utilisé à titre personnel, client entreprise, statut actif, porté à l'international."
61,61,ma906354543501744484055385,epargne,136696.32,ferme,1970-01-01,joint,premium,national,"Compte de type epargne, utilisé à titre joint, client premium, statut ferme, porté à l'national."
62,62,ma585843727425129767381115,epargne,75384.09,suspendu,1970-01-01,joint,entreprise,national,"Compte de type epargne, utilisé à titre joint, client entreprise, statut suspendu, porté à l'national."
63,63,ma482280855192957098561490,courant,338110.89,actif,1970-01-01,joint,premium,international,"Compte de type courant, utilisé à titre joint, client premium, statut actif, porté à l'international."
64,64,ma110478146613058762684231,courant,165787.74,actif,1970-01-01,joint,entreprise,national,"Compte de type courant, utilisé à titre joint, client entreprise, statut actif, porté à l'national."
65,65,ma998932030275430728627143,epargne,478980.39,suspendu,1970-01-01,professionnel,entreprise,international,"Compte de type epargne, utilisé à titre professionnel, client entreprise, statut suspendu, porté à l'international."
66,66,ma538757025704086326392078,salaire,291745.09,suspendu,1970-01-01,professionnel,entreprise,national,"Compte de type salaire, utilisé à titre professionnel, client entreprise, statut suspendu, porté à l'national."
67,67,ma950604062433510147707584,epargne,144906.04,actif,1970-01-01,professionnel,entreprise,international,"Compte de type epargne, utilisé à titre professionnel, client entreprise, statut actif, porté à l'international."
68,68,ma293203115679941461926696,epargne,81670.21,actif,1970-01-01,joint,entreprise,international,"Compte de type epargne, utilisé à titre joint, client entreprise, statut actif, porté à l'international."
69,69,ma847478860673991297017589,investissement,79182.3,ferme,1970-01-01,personnel,entreprise,international,"Compte de type investissement, utilisé à titre personnel, client entreprise, statut ferme, porté à l'international."
70,70,ma946087025679519422961147,salaire,344997.36,actif,1970-01-01,personnel,entreprise,international,"Compte de type salaire, utilisé à titre personnel, client entreprise, statut actif, porté à l'international."
71,71,ma902564585545818246958944,epargne,454596.95,actif,1970-01-01,personnel,entreprise,international,"Compte de type epargne, utilisé à titre personnel, client entreprise, statut actif, porté à l'international."
72,72,ma263918494241277470822873,investissement,236432.9,suspendu,1970-01-01,professionnel,premium,national,"Compte de type investissement, utilisé à titre professionnel, client premium, statut suspendu, porté à l'national."
73,73,ma124124045704534646006255,salaire,465474.54,ferme,1970-01-01,joint,particulier,national,"Compte de type salaire, utilisé à titre joint, client particulier, statut ferme, porté à l'national."
74,74,ma640788103504033424651743,courant,485149.84,ferme,1970-01-01,joint,entreprise,national,"Compte de type courant, utilisé à titre joint, client entreprise, statut ferme, porté à l'national."
75,75,ma202785033210638550932002,salaire,34491.55,actif,1970-01-01,personnel,premium,national,"Compte de type salaire, utilisé à titre personnel, client premium, statut actif, porté à l'national."
76,76,ma918893398871707368849542,investissement,458386.17,actif,1970-01-01,professionnel,particulier,international,"Compte de type investissement, utilisé à titre professionnel, client particulier, statut actif, porté à l'international."
77,77,ma338325825786715458877394,salaire,146210.11,actif,1970-01-01,professionnel,entreprise,national,"Compte de type salaire, utilisé à titre professionnel, client entreprise, statut actif, porté à l'national."
78,78,ma119285974081801967113518,investissement,495851.32,suspendu,1970-01-01,professionnel,premium,international,"Compte de type investissement, utilisé à titre professionnel, client premium, statut suspendu, porté à l'international."
79,79,ma332138489206768816338069,salaire,491019.09,actif,1970-01-01,personnel,entreprise,international,"Compte de type salaire, utilisé à titre personnel, client entreprise, statut actif, porté à l'international."
80,80,ma885075940467934253073936,epargne,350272.42,suspendu,1970-01-01,joint,premium,international,"Compte de type epargne, utilisé à titre joint, client premium, statut suspendu, porté à l'international."
81,81,ma623407845399975789667707,salaire,20275.85,ferme,1970-01-01,professionnel,entreprise,international,"Compte de type salaire, utilisé à titre professionnel, client entreprise, statut ferme, porté à l'international."
82,82,ma893906539891966112344116,investissement,329722.29,suspendu,1970-01-01,professionnel,entreprise,national,"Compte de type investissement, utilisé à titre professionnel, client entreprise, statut suspendu, porté à l'national."
83,83,ma257941601503683236875510,courant,367333.9,actif,1970-01-01,personnel,particulier,international,"Compte de type courant, utilisé à titre personnel, client particulier, statut actif, porté à l'international."
84,84,ma341345774859083434585835,investissement,190039.47,actif,1970-01-01,personnel,particulier,international,"Compte de type investissement, utilisé à titre personnel, client particulier, statut actif, porté à l'international."
85,85,ma426759572217319930096056,investissement,167850.67,ferme,1970-01-01,joint,premium,international,"Compte de type investissement, utilisé à titre joint, client premium, statut ferme, porté à l'international."
86,86,ma955050992727209662019289,salaire,66213.45,suspendu,1970-01-01,personnel,entreprise,national,"Compte de type salaire, utilisé à titre personnel, client entreprise, statut suspendu, porté à l'national."
87,87,ma767776960913949138095900,epargne,244440.77,suspendu,1970-01-01,personnel,particulier,national,"Compte de type epargne, utilisé à titre personnel, client particulier, statut suspendu, porté à l'national."
88,88,ma643863757250423820618953,courant,402747.31,suspendu,1970-01-01,joint,premium,international,"Compte de type courant, utilisé à titre joint, client premium, statut suspendu, porté à l'international."
89,89,ma189950805943374072748644,epargne,186725.48,actif,1970-01-01,professionnel,particulier,international,"Compte de type epargne, utilisé à titre professionnel, client particulier, statut actif, porté à l'international."
90,90,ma386455826249811143204225,courant,431852.02,actif,1970-01-01,personnel,entreprise,national,"Compte de type courant, utilisé à titre personnel, client entreprise, statut actif, porté à l'national."
91,91,ma990369244263223186525260,salaire,435086.29,ferme,1970-01-01,professionnel,premium,national,"Compte de type salaire, utilisé à titre professionnel, client premium, statut ferme, porté à l'national."
92,92,ma804502485108222167653130,investissement,315519.91,suspendu,1970-01-01,professionnel,entreprise,national,"Compte de type investissement, utilisé à titre professionnel, client entreprise, statut suspendu, porté à l'national."
93,93,ma227940436093707908803628,courant,28130.4,actif,1970-01-01,joint,entreprise,international,"Compte de type courant, utilisé à titre joint, client entreprise, statut actif, porté à l'international."
94,94,ma324332351737042683767223,courant,359141.29,actif,1970-01-01,professionnel,particulier,international,"Compte de type courant, utilisé à titre professionnel, client particulier, statut actif, porté à l'international."
95,95,ma354126645848076749868038,courant,358503.74,suspendu,1970-01-01,personnel,particulier,national,"Compte de type courant, utilisé à titre personnel, client particulier, statut suspendu, porté à l'national."
96,96,ma739929089465140222758684,epargne,238048.25,actif,1970-01-01,professionnel,particulier,national,"Compte de type epargne, utilisé à titre professionnel, client particulier, statut actif, porté à l'national."
97,97,ma698799536716719359725450,epargne,234631.77,ferme,1970-01-01,joint,particulier,national,"Compte de type epargne, utilisé à titre joint, client particulier, statut ferme, porté à l'national."
98,98,ma634956708302166723649374,epargne,253816.82,actif,1970-01-01,joint,particulier,international,"Compte de type epargne, utilisé à titre joint, client particulier, statut actif, porté à l'international."
99,99,ma339032433603265559826599,salaire,71989.19,ferme,1970-01-01,professionnel,particulier,international,"Compte de type salaire, utilisé à titre professionnel, client particulier, statut ferme, porté à l'international."
100,100,ma328905144052045820437960,courant,351448.9,actif,1970-01-01,joint,premium,national,"Compte de type courant, utilisé à titre joint, client premium, statut actif, porté à l'national."
101,101,ma577109584908605696217315,salaire,300796.9,ferme,1970-01-01,personnel,particulier,international,"Compte de type salaire, utilisé à titre personnel, client particulier, statut ferme, porté à l'international."
102,102,ma363849045242682095306843,investissement,125512.35,suspendu,1970-01-01,professionnel,premium,national,"Compte de type investissement, utilisé à titre professionnel, client premium, statut suspendu, porté à l'national."
103,103,ma741397732878194378670269,courant,327438.34,ferme,1970-01-01,professionnel,premium,international,"Compte de type courant, utilisé à titre professionnel, client premium, statut ferme, porté à l'international."
104,104,ma174489145213218225429466,courant,246986.83,ferme,1970-01-01,joint,entreprise,national,"Compte de type courant, utilisé à titre joint, client entreprise, statut ferme, porté à l'national."
105,105,ma196650426050586646742133,investissement,6048.87,ferme,1970-01-01,personnel,entreprise,international,"Compte de type investissement, utilisé à titre personnel, client entreprise, statut ferme, porté à l'international."
106,106,ma484911389429387982805784,salaire,349053.08,ferme,1970-01-01,personnel,particulier,international,"Compte de type salaire, utilisé à titre personnel, client particulier, statut ferme, porté à l'international."
107,107,ma179652290055868912646447,salaire,363588.11,suspendu,1970-01-01,professionnel,premium,national,"Compte de type salaire, utilisé à titre professionnel, client premium, statut suspendu, porté à l'national."
108,108,ma997256237755340681561606,investissement,185253.17,suspendu,1970-01-01,personnel,entreprise,international,"Compte de type investissement, utilisé à titre personnel, client entreprise, statut suspendu, porté à l'international."
109,109,ma478960485577381716623368,epargne,114094.41,actif,1970-01-01,professionnel,entreprise,international,"Compte de type epargne, utilisé à titre professionnel, client entreprise, statut actif, porté à l'international."
110,110,ma526630594395460456045160,investissement,232499.16,suspendu,1970-01-01,joint,particulier,national,"Compte de type investissement, utilisé à titre joint, client particulier, statut suspendu, porté à l'national."
111,111,ma646640933667257855949822,epargne,71084.34,suspendu,1970-01-01,personnel,entreprise,national,"Compte de type epargne, utilisé à titre personnel, client entreprise, statut suspendu, porté à l'national."
112,112,ma129606095151564277332000,epargne,394143.24,suspendu,1970-01-01,professionnel,premium,international,"Compte de type epargne, utilisé à titre professionnel, client premium, statut suspendu, porté à l'international."
113,113,ma864283107006247791037705,epargne,199739.16,actif,1970-01-01,professionnel,particulier,national,"Compte de type epargne, utilisé à titre professionnel, client particulier, statut actif, porté à l'national."
114,114,ma308889184133492121396476,epargne,296488.93,actif,1970-01-01,joint,premium,national,"Compte de type epargne, utilisé à titre joint, client premium, statut actif, porté à l'national."
115,115,ma119813552738883844499383,investissement,236170.5,suspendu,1970-01-01,personnel,entreprise,international,"Compte de type investissement, utilisé à titre personnel, client entreprise, statut suspendu, porté à l'international."
116,116,ma126198024548002664434242,investissement,196146.34,suspendu,1970-01-01,professionnel,particulier,international,"Compte de type investissement, utilisé à titre professionnel, client particulier, statut suspendu, porté à l'international."
117,117,ma375322777400130905623850,epargne,243293.06,ferme,1970-01-01,professionnel,premium,national,"Compte de type epargne, utilisé à titre professionnel, client premium, statut ferme, porté à l'national."
118,118,ma626016892050184430120810,epargne,243696.7,ferme,1970-01-01,personnel,premium,national,"Compte de type epargne, utilisé à titre personnel, client premium, statut ferme, porté à l'national."
119,119,ma676307755452752776569931,salaire,70781.82,ferme,1970-01-01,joint,particulier,national,"Compte de type salaire, utilisé à titre joint, client particulier, statut ferme, porté à l'national."
120,120,ma692978268466628492934709,courant,478430.51,ferme,1970-01-01,professionnel,entreprise,international,"Compte de type courant, utilisé à titre professionnel, client entreprise, statut ferme, porté à l'international."
121,121,ma862170370601403618568892,salaire,342044.58,suspendu,1970-01-01,joint,premium,international,"Compte de type salaire, utilisé à titre joint, client premium, statut suspendu, porté à l'international."
122,122,ma824276760253675179577925,epargne,264841.88,suspendu,1970-01-01,personnel,particulier,international,"Compte de type epargne, utilisé à titre personnel, client particulier, statut suspendu, porté à l'international."
123,123,ma254913249773092021107810,salaire,282685.58,suspendu,1970-01-01,joint,entreprise,national,"Compte de type salaire, utilisé à titre joint, client entreprise, statut suspendu, porté à l'national."
124,124,ma640471481303507701134772,salaire,208529.44,actif,1970-01-01,joint,particulier,international,"Compte de type salaire, utilisé à titre joint, client particulier, statut actif, porté à l'international."
125,125,ma932083302272115206506559,epargne,455077.55,suspendu,1970-01-01,personnel,premium,international,"Compte de type epargne, utilisé à titre personnel, client premium, statut suspendu, porté à l'international."
126,126,ma511944479774547100362478,salaire,349179.86,actif,1970-01-01,joint,entreprise,international,"Compte de type salaire, utilisé à titre joint, client entreprise, statut actif, porté à l'international."
127,127,ma956043828436834454618525,epargne,406670.28,actif,1970-01-01,professionnel,entreprise,international,"Compte de type epargne, utilisé à titre professionnel, client entreprise, statut actif, porté à l'international."
128,128,ma667893407323529304873229,courant,156764.35,actif,1970-01-01,personnel,particulier,national,"Compte de type courant, utilisé à titre personnel, client particulier, statut actif, porté à l'national."
129,129,ma279353084490480273012687,salaire,40699.77,suspendu,1970-01-01,professionnel,entreprise,international,"Compte de type salaire, utilisé à titre professionnel, client entreprise, statut suspendu, porté à l'international."
130,130,ma180912326476337631124466,investissement,194818.76,actif,1970-01-01,personnel,entreprise,international,"Compte de type investissement, utilisé à titre personnel, client entreprise, statut actif, porté à l'international."
131,131,ma433918717469295840947703,epargne,181923.04,actif,1970-01-01,personnel,particulier,international,"Compte de type epargne, utilisé à titre personnel, client particulier, statut actif, porté à l'international."
132,132,ma369991094964555402934952,courant,163640.83,ferme,1970-01-01,professionnel,premium,international,"Compte de type courant, utilisé à titre professionnel, client premium, statut ferme, porté à l'international."
133,133,ma276656386067753276578297,salaire,478335.98,suspendu,1970-01-01,joint,entreprise,national,"Compte de type salaire, utilisé à titre joint, client entreprise, statut suspendu, porté à l'national."
134,134,ma831124049999265663785992,epargne,412077.01,ferme,1970-01-01,joint,entreprise,national,"Compte de type epargne, utilisé à titre joint, client entreprise, statut ferme, porté à l'national."
135,135,ma245519079035421859739989,salaire,366723.29,ferme,1970-01-01,joint,entreprise,national,"Compte de type salaire, utilisé à titre joint, client entreprise, statut ferme, porté à l'national."
136,136,ma732874491746000442516951,salaire,124150.82,suspendu,1970-01-01,professionnel,premium,international,"Compte de type salaire, utilisé à titre professionnel, client premium, statut suspendu, porté à l'international."
137,137,ma460468027272435774168331,salaire,102159.8,suspendu,1970-01-01,joint,entreprise,national,"Compte de type salaire, utilisé à titre joint, client entreprise, statut suspendu, porté à l'national."
138,138,ma887768737325653364899347,investissement,39400.9,suspendu,1970-01-01,professionnel,particulier,national,"Compte de type investissement, utilisé à titre professionnel, client particulier, statut suspendu, porté à l'national."
139,139,ma856656788301083952419967,investissement,277654.42,ferme,1970-01-01,personnel,entreprise,national,"Compte de type investissement, utilisé à titre personnel, client entreprise, statut ferme, porté à l'national."
140,140,ma479721771159726215863441,courant,468454.64,suspendu,1970-01-01,joint,particulier,international,"Compte de type courant, utilisé à titre joint, client particulier, statut suspendu, porté à l'international."
141,141,ma953848091349504804298637,investissement,142417.15,ferme,1970-01-01,joint,entreprise,international,"Compte de type investissement, utilisé à titre joint, client entreprise, statut ferme, porté à l'international."
142,142,ma163366851720425636314677,salaire,276309.93,suspendu,1970-01-01,joint,entreprise,national,"Compte de type salaire, utilisé à titre joint, client entreprise, statut suspendu, porté à l'national."
143,143,ma765067382154342794708227,courant,314463.72,ferme,1970-01-01,personnel,particulier,national,"Compte de type courant, utilisé à titre personnel, client particulier, statut ferme, porté à l'national."
144,144,ma315188566002573192598456,salaire,306560.37,actif,1970-01-01,personnel,premium,national,"Compte de type salaire, utilisé à titre personnel, client premium, statut actif, porté à l'national."
145,145,ma491703382409576983058473,courant,441635.64,actif,1970-01-01,personnel,particulier,international,"Compte de type courant, utilisé à titre personnel, client particulier, statut actif, porté à l'international."
146,146,ma962767451627680680109131,epargne,248363.47,actif,1970-01-01,personnel,premium,national,"Compte de type epargne, utilisé à titre personnel, client premium, statut actif, porté à l'national."
147,147,ma223614428009656013110399,epargne,470064.39,actif,1970-01-01,professionnel,premium,international,"Compte de type epargne, utilisé à titre professionnel, client premium, statut actif, porté à l'international."
148,148,ma535596888824348244449561,salaire,169112.12,suspendu,1970-01-01,personnel,entreprise,national,"Compte de type salaire, utilisé à titre personnel, client entreprise, statut suspendu, porté à l'national."
149,149,ma184112556982710807324673,investissement,200309.91,actif,1970-01-01,personnel,particulier,national,"Compte de type investissement, utilisé à titre personnel, client particulier, statut actif, porté à l'national."
150,150,ma875914629583999876555430,investissement,347308.57,ferme,1970-01-01,professionnel,particulier,international,"Compte de type investissement, utilisé à titre professionnel, client particulier, statut ferme, porté à l'international."
151,151,ma292297133554881570710194,courant,381393.9,suspendu,1970-01-01,professionnel,entreprise,national,"Compte de type courant, utilisé à titre professionnel, client entreprise, statut suspendu, porté à l'national."
152,152,ma168312706972082807153261,courant,26288.93,ferme,1970-01-01,joint,entreprise,international,"Compte de type courant, utilisé à titre joint, client entreprise, statut ferme, porté à l'international."
153,153,ma151253885368369946536842,courant,109539.5,actif,1970-01-01,personnel,entreprise,international,"Compte de type courant, utilisé à titre personnel, client entreprise, statut actif, porté à l'international."
154,154,ma705166425702839828872121,salaire,161508.98,ferme,1970-01-01,joint,premium,national,"Compte de type salaire, utilisé à titre joint, client premium, statut ferme, porté à l'national."
155,155,ma123268645660240733690677,salaire,246139.02,ferme,1970-01-01,joint,premium,international,"Compte de type salaire, utilisé à titre joint, client premium, statut ferme, porté à l'international."
156,156,ma601635171278128160528348,courant,20113.0,ferme,1970-01-01,joint,particulier,international,"Compte de type courant, utilisé à titre joint, client particulier, statut ferme, porté à l'international."
157,157,ma377442883224153450064258,investissement,3625.83,ferme,1970-01-01,personnel,entreprise,international,"Compte de type investissement, utilisé à titre personnel, client entreprise, statut ferme, porté à l'international."
158,158,ma580153330065888918617972,epargne,76170.31,actif,1970-01-01,professionnel,particulier,national,"Compte de type epargne, utilisé à titre professionnel, client particulier, statut actif, porté à l'national."
159,159,ma999751520843619034109758,salaire,132860.08,suspendu,1970-01-01,joint,premium,international,"Compte de type salaire, utilisé à titre joint, client premium, statut suspendu, porté à l'international."
160,160,ma293255255996676384031199,epargne,377098.03,suspendu,1970-01-01,joint,entreprise,international,"Compte de type epargne, utilisé à titre joint, client entreprise, statut suspendu, porté à l'international."
161,161,ma495391123839846489054103,salaire,196346.59,ferme,1970-01-01,professionnel,premium,national,"Compte de type salaire, utilisé à titre professionnel, client premium, statut ferme, porté à l'national."
162,162,ma134835784278898478335731,investissement,301703.76,ferme,1970-01-01,joint,entreprise,national,"Compte de type investissement, utilisé à titre joint, client entreprise, statut ferme, porté à l'national."
163,163,ma323449184985331892181649,courant,20877.96,actif,1970-01-01,personnel,entreprise,national,"Compte de type courant, utilisé à titre personnel, client entreprise, statut actif, porté à l'national."
